# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jul 12 02:35:08 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
#
pl_name	hostname	st_teff	st_tefferr1	st_tefferr2	st_tefflim	st_rad	st_raderr1	st_raderr2	st_mass	st_masserr1	st_masserr2	st_masslim	st_rotp	st_rotperr1	st_rotperr2	st_rotplim
55 Cnc e	55 Cnc					0.94	0.01	-0.01	0.96	0.05	-0.03	0				
55 Cnc e	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc e	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc e	55 Cnc	5317.89	80.51	-80.51	0	0.96	0.02	-0.02	0.97	0.05	-0.05	0				
55 Cnc e	55 Cnc	5172.00	18.00	-18.00	0	0.94	0.01	-0.01	0.91	0.01	-0.01	0	38.80	0.05	-0.05	0
55 Cnc e	55 Cnc	5172.00	18.00	-18.00	0	0.95	0.02	-0.02	0.87	0.05	-0.04	0				
55 Cnc f	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc f	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc f	55 Cnc	5172.00	18.00	-18.00	0	0.94	0.01	-0.01	0.91	0.01	-0.01	0	38.80	0.05	-0.05	0
55 Cnc f	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc f	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc f	55 Cnc								0.95			0				
55 Cnc f	55 Cnc	5317.89	80.51	-80.51	0	0.96	0.02	-0.02	0.97	0.05	-0.05	0				
6 Lyn b	6 Lyn	4938.00			0	5.20			1.44			0				
6 Lyn b	6 Lyn					5.20	0.40	-0.30	1.82	0.13	-0.13	0				
6 Lyn b	6 Lyn	4978.00	18.00	-18.00	0	5.20	0.40	-0.30	1.70	0.10	-0.20	0				
61 Vir b	61 Vir	5585.57	78.88	-78.88	0	1.03	0.02	-0.02	0.91	0.04	-0.04	0				
61 Vir b	61 Vir	5577.00	33.00	-33.00	0	0.96	0.01	-0.01	0.94	0.03	-0.03	0				
61 Vir c	61 Vir	5577.00	33.00	-33.00	0	0.96	0.01	-0.01	0.94	0.03	-0.03	0				
61 Vir c	61 Vir	5585.57	78.88	-78.88	0	1.03	0.02	-0.02	0.91	0.04	-0.04	0				
61 Vir d	61 Vir	5577.00	33.00	-33.00	0	0.96	0.01	-0.01	0.94	0.03	-0.03	0				
7 CMa b	7 CMa	4794.52	24.10	-24.10	0	4.91										
7 CMa b	7 CMa	4826.00	45.00	-55.00	0	4.87	0.17	-0.14	1.34	0.11	-0.12	0				
7 CMa b	7 CMa	4792.00	100.00	-100.00	0	2.30	0.10	-0.10	1.52	0.30	-0.30	0				
7 CMa c	7 CMa	4826.00	45.00	-55.00	0	4.87	0.17	-0.14	1.34	0.11	-0.12	0				
70 Vir b	70 Vir	5495.00			0	1.89			1.09			0				
70 Vir b	70 Vir	5531.00	11.00	-11.00	0	1.84	0.03	-0.03	1.14	0.08	-0.08	0				
70 Vir b	70 Vir	5439.00	44.00	-44.00	0	1.94	0.05	-0.05	1.09	0.02	-0.02	0				
70 Vir b	70 Vir															
70 Vir b	70 Vir	5545.00			0				1.11			0				
70 Vir b	70 Vir	5481.86	100.68	-100.68	0	1.92	0.05	-0.05	1.06	0.03	-0.03	0				
75 Cet b	75 Cet	4846.00	18.00	-18.00	0	10.50	1.00	-1.00	2.49	0.02	-0.27	0				
8 UMi b	8 UMi	4847.40	7.50	-7.50	0	9.90	0.40	-0.40	1.80	0.10	-0.10	0				
8 UMi b	8 UMi	4847.00	7.00	-7.00	0	10.30	0.57	-0.57	1.44	0.19	-0.19	0				
81 Cet b	81 Cet								1.60	0.40	-0.20	0				
81 Cet b	81 Cet	4785.00	25.00	-25.00	0	11.00	2.00	-1.00	2.40	0.10	-0.40	0				
91 Aqr b	91 Aqr	4665.00	18.00	-18.00	0	11.00	0.10	-0.10	1.40	0.10	-0.10	0				
AB Aur b	AB Aur	9770.00	100.00	-100.00	0				2.40	0.20	-0.20	0				
AB Pic b	AB Pic															
AU Mic b	AU Mic	3700.00	100.00	-100.00	0	0.75	0.03	-0.03	0.50	0.03	-0.03	0	4.86	0.01	-0.01	0
AU Mic b	AU Mic					0.75	0.03	-0.03					4.85	0.03	-0.03	0
AU Mic b	AU Mic	3700.00	100.00	-100.00	0	0.75	0.03	-0.03	0.50	0.03	-0.03	0	4.86	0.01	-0.01	0
AU Mic b	AU Mic	3700.00	100.00	-100.00	0	0.75	0.03	-0.03	0.50	0.03	-0.03	0	4.86	0.01	-0.01	0
AU Mic b	AU Mic	3700.00	100.00	-100.00	0	0.75	0.03	-0.03	0.50	0.03	-0.03	0	4.86	0.01	-0.01	0
AU Mic b	AU Mic								0.50	0.03	-0.03	0				
AU Mic c	AU Mic	3700.00	100.00	-100.00	0	0.75	0.03	-0.03	0.50	0.03	-0.03	0	4.86	0.01	-0.01	0
AU Mic c	AU Mic								0.50	0.03	-0.03	0				
AU Mic c	AU Mic	3700.00	100.00	-100.00	0	0.75	0.03	-0.03	0.50	0.03	-0.03	0	4.86	0.01	-0.01	0
AU Mic c	AU Mic					0.75	0.03	-0.03					4.85	0.03	-0.03	0
BD+03 2562 b	BD+03 2562	4095.00	20.00	-20.00	0	32.35	8.82	-8.82	1.14	0.25	-0.25	0				
BD+14 4559 b	BD+14 4559	5008.00	20.00	-20.00	0	0.95	0.20	-0.20	0.86	0.15	-0.15	0				
BD+14 4559 b	BD+14 4559	4864.00	101.00	-101.00	0	0.86	0.04	-0.04	0.49	0.33	-0.33	0				
BD+15 2375 b	BD+15 2375	4649.00	30.00	-30.00	0	8.95	1.45	-1.45	1.08	0.14	-0.14	0				
BD+15 2940 b	BD+15 2940	4796.00	117.00	-117.00	0	14.70	2.80	-2.80	1.10	0.20	-0.20	0				
BD+20 2457 b	BD+20 2457	4259.00	64.00	-64.00	0	71.02	73.63	-73.63	10.83	22.96	-22.96	0				
BD+20 2457 b	BD+20 2457	4137.00	10.00	-10.00	0	49.00	26.00	-26.00	2.80	1.50	-1.50	0				
BD+20 2457 c	BD+20 2457	4137.00	10.00	-10.00	0	49.00	26.00	-26.00	2.80	1.50	-1.50	0				
BD+20 274 b	BD+20 274	4296.00	10.00	-10.00	0	17.30	0.90	-0.90	0.80	0.20	-0.20	0				
BD+20 594 b	BD+20 594	5703.00	50.00	-50.00	0	0.96	0.10	-0.05	0.96	0.03	-0.03	0				
BD+20 594 b	BD+20 594	5766.00	99.00	-99.00	0	0.93	0.06	-0.04	0.96	0.03	-0.03	0				
BD+20 594 b	BD+20 594	5766.00	99.00	-99.00	0	1.08	0.06	-0.06	1.67	0.40	-0.40	0				
BD+45 564 b	BD+45 564	5004.00	50.00	-50.00	0				0.81	0.07	-0.07	0				
BD+48 738 b	BD+48 738	4414.00	15.00	-15.00	0	11.00	1.00	-1.00	0.74	0.39	-0.39	0				
BD+48 740 b	BD+48 740	4534.00	8.00	-8.00	0	10.33	1.81	-1.81	1.09	0.16	-0.16	0	746.00	2477.00	-2477.00	0
BD+49 828 b	BD+49 828	4943.00	30.00	-30.00	0	7.60	1.30	-1.30	1.52	0.22	-0.22	0				
BD+55 362 b	BD+55 362	5012.00	78.00	-78.00	0				0.91	0.10	-0.10	0				
BD+60 1417 b	BD+60 1417	4993.00	124.00	-124.00	0	0.80	0.05	-0.05	1.00			0	7.50	0.86	-0.86	0
BD+63 1405 b	BD+63 1405	5000.00	53.00	-53.00	0				0.82	0.08	-0.08	0				
BD-00 4475 b	BD-00 4475	5040.00	112.00	-112.00	0				0.81	0.10	-0.10	0				
BD-06 1339 b	BD-06 1339	4324.00	100.00	-100.00	0				0.70			0				
BD-06 1339 c	BD-06 1339	4324.00	100.00	-100.00	0				0.70			0				
BD-08 2823 b	BD-08 2823	4746.00	63.00	-63.00	0				0.74	0.07	-0.07	0				
BD-08 2823 b	BD-08 2823	4816.00	114.00	-114.00	0	0.71	0.04	-0.04	0.50	0.26	-0.26	0				
BD-08 2823 c	BD-08 2823	4746.00	63.00	-63.00	0				0.74	0.07	-0.07	0				
BD-10 3166 b	BD-10 3166	5382.64	78.53	-78.53	0	0.97	0.02	-0.02	1.00	0.04	-0.04	0				
BD-10 3166 b	BD-10 3166	5393.00			0				1.01			0				
BD-10 3166 b	BD-10 3166	5393.00	44.00	-44.00	0	0.91	0.04	-0.04	1.47	0.24	-0.24	0				
BD-10 3166 b	BD-10 3166	5400.00			0				1.10	0.10	-0.10	0				
BD-11 4672 b	BD-11 4672	4475.00	100.00	-100.00	0	0.52	0.02	-0.02	0.57	0.01	-0.01	0				
BD-11 4672 b	BD-11 4672	4550.00	110.00	-110.00	0	0.64	0.02	-0.02	0.65	0.03	-0.03	0	25.00			0
BD-11 4672 c	BD-11 4672	4550.00	110.00	-110.00	0	0.64	0.02	-0.02	0.65	0.03	-0.03	0	25.00			0
BD-13 2130 b	BD-13 2130								2.40	0.20	-0.20	0				
BD-13 2130 b	BD-13 2130	4545.00	71.00	-71.00	0	19.17	4.96	-4.96	2.12	1.47	-1.47	0				
BD-17 63 b	BD-17 63	4665.00	120.00	-120.00	0	0.74	0.04	-0.04	0.31	0.19	-0.19	0				
BD-17 63 b	BD-17 63	4714.00	93.00	-93.00	0	0.69			0.74	0.03	-0.03	0				
CD Cet b	CD Cet	3130.00	51.00	-51.00	0	0.17	0.01	-0.01	0.16	0.01	-0.01	0	126.20			0
CFBDSIR J145829+101343 b	CFBDSIR J145829+101343	580.50	24.50	-24.50	0				0.02	0.01	-0.01	0				
CFHTWIR-Oph 98 b	CFHTWIR-Oph 98 A	2320.00	40.00	-40.00	0	0.24	0.01	-0.01	0.01	0.00	0.00	0				
CHXR 73 b	CHXR 73								0.35			0				
CI Tau b	CI Tau								0.90	0.02	-0.02	0				
COCONUTS-2 b	COCONUTS-2 A	3406.00	69.00	-69.00	0	0.39	0.01	-0.01	0.37	0.02	-0.02	0	2.83	0.28	-0.28	0
CT Cha b	CT Cha															
CoRoT-1 b	CoRoT-1	5950.00	150.00	-150.00	0	1.13	0.05	-0.05	0.95	0.11	-0.11	0				
CoRoT-1 b	CoRoT-1	5950.00			0											
CoRoT-1 b	CoRoT-1	6298.00	66.00	-66.00	0	1.23	0.02	-0.02	1.22	0.03	-0.03	0				
CoRoT-1 b	CoRoT-1	5950.00	150.00	-150.00	0	1.11	0.05	-0.05	0.95	0.15	-0.15	0				
CoRoT-1 b	CoRoT-1	5950.00	50.00	-50.00	0	1.14	0.03	-0.03	1.03	0.06	-0.06	0				
CoRoT-10 b	CoRoT-10	5075.00	75.00	-75.00	0	0.74	0.06	-0.06	0.90	0.04	-0.04	0				
CoRoT-10 b	CoRoT-10	5075.00	75.00	-75.00	0	0.79	0.05	-0.05	0.89	0.05	-0.05	0				
CoRoT-10 b	CoRoT-10	5075.00	75.00	-75.00	0	0.79	0.05	-0.05	0.89	0.05	-0.05	0				
CoRoT-11 b	CoRoT-11	6343.00	72.00	-72.00	0	1.36	0.13	-0.13	1.56	0.10	-0.10	0				
CoRoT-11 b	CoRoT-11	6440.00	120.00	-120.00	0	1.37	0.06	-0.06	1.26	0.14	-0.14	0				
CoRoT-11 b	CoRoT-11	6440.00	120.00	-120.00	0	1.37	0.03	-0.03	1.27	0.05	-0.05	0				
CoRoT-11 b	CoRoT-11	6440.00	120.00	-120.00	0	1.37	0.03	-0.03	1.27	0.05	-0.05	0				
CoRoT-11 b	CoRoT-11					1.33	0.04	-0.04	1.23	0.03	-0.03	0				
CoRoT-12 b	CoRoT-12	5675.00	80.00	-80.00	0	1.12	0.10	-0.09	1.08	0.08	-0.07	0				
CoRoT-12 b	CoRoT-12					1.05	0.05	-0.05	1.00	0.10	-0.10	0				
CoRoT-12 b	CoRoT-12	5675.00	80.00	-80.00	0	1.12	0.10	-0.09	1.08	0.08	-0.07	0				
CoRoT-12 b	CoRoT-12	5675.00	80.00	-80.00	0	1.05	0.04	-0.04	1.02	0.09	-0.09	0				
CoRoT-12 b	CoRoT-12	5675.00	80.00	-80.00	0	1.12	0.10	-0.09	1.08	0.08	-0.07	0				
CoRoT-13 b	CoRoT-13	5945.00	90.00	-90.00	0	1.01	0.03	-0.03	1.09	0.02	-0.02	0				
CoRoT-13 b	CoRoT-13	5945.00	90.00	-90.00	0	1.27	0.08	-0.08	1.09	0.09	-0.09	0				
CoRoT-13 b	CoRoT-13	5945.00	90.00	-90.00	0	1.01	0.03	-0.03	1.09	0.02	-0.02	0				
CoRoT-13 b	CoRoT-13	5945.00	90.00	-90.00	0	1.01	0.03	-0.03	1.09	0.02	-0.02	0				
CoRoT-14 b	CoRoT-14	6035.00	100.00	-100.00	0	1.19	0.14	-0.14	1.12	0.10	-0.10	0				
CoRoT-14 b	CoRoT-14	6040.00	100.00	-100.00	0	1.21	0.08	-0.08	1.13	0.09	-0.09	0				
CoRoT-14 b	CoRoT-14	6035.00	100.00	-100.00	0	1.21	0.08	-0.08	1.13	0.09	-0.09	0				
CoRoT-16 b	CoRoT-16	5650.00	100.00	-100.00	0	1.19	0.14	-0.13	1.10	0.08	-0.08	0				
CoRoT-16 b	CoRoT-16	5650.00	100.00	-100.00	0	1.19	0.14	-0.13	1.10	0.08	-0.08	0				
CoRoT-17 b	CoRoT-17	5740.00	80.00	-80.00	0	1.59	0.07	-0.07	1.04	0.10	-0.10	0				
CoRoT-17 b	CoRoT-17	5740.00	80.00	-80.00	0	1.59	0.07	-0.07	1.04	0.10	-0.10	0				
CoRoT-17 b	CoRoT-17	5740.00	80.00	-80.00	0	1.62	0.47	-0.13	1.04	0.07	-0.05	0				
CoRoT-18 b	CoRoT-18	5440.00	100.00	-100.00	0	0.92	0.06	-0.06	0.86	0.06	-0.06	0				
CoRoT-18 b	CoRoT-18	5440.00	100.00	-100.00	0	1.00	0.13	-0.13	0.95	0.15	-0.15	0				
CoRoT-18 b	CoRoT-18	5440.00	100.00	-100.00	0	1.00	0.13	-0.13	0.95	0.15	-0.15	0	5.40	0.40	-0.40	0
CoRoT-18 b	CoRoT-18	5440.00	100.00	-100.00	0	1.00	0.13	-0.13	0.95	0.15	-0.15	0				
CoRoT-18 b	CoRoT-18					0.88	0.03	-0.03	0.88	0.07	-0.07	0				
CoRoT-19 b	CoRoT-19	6090.00	70.00	-70.00	0	1.65	0.04	-0.04	1.21	0.05	-0.05	0				
CoRoT-19 b	CoRoT-19	6090.00	70.00	-70.00	0	1.58	0.35	-0.10	1.18	0.13	-0.08	0				
CoRoT-19 b	CoRoT-19	6090.00	70.00	-70.00	0	1.65	0.04	-0.04	1.21	0.05	-0.05	0				
CoRoT-19 b	CoRoT-19	6090.00	70.00	-70.00	0	1.65	0.04	-0.04	1.21	0.05	-0.05	0				
CoRoT-2 b	CoRoT-2	5625.00	120.00	-120.00	0	0.90	0.02	-0.02	0.97	0.06	-0.06	0				
CoRoT-2 b	CoRoT-2	5598.00	50.00	-50.00	0	0.90	0.02	-0.02	1.00	0.05	-0.05	0				
CoRoT-2 b	CoRoT-2	5625.00	120.00	-120.00	0	0.90	0.02	-0.02	0.97	0.06	-0.06	0	4.52	0.02	-0.02	0
CoRoT-2 b	CoRoT-2	5696.00	70.00	-70.00	0											
