# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jul 12 02:33:05 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rotp:        Stellar Rotational Period [days]
#
pl_name,hostname,st_teff,st_rad,st_mass,st_rotp
BD+20 2457 c,BD+20 2457,4137.00,49.00,2.80,
BD+20 274 b,BD+20 274,4296.00,17.30,0.80,
BD+20 594 b,BD+20 594,5703.00,0.96,0.96,
BD+20 594 b,BD+20 594,5766.00,0.93,0.96,
BD+20 594 b,BD+20 594,5766.00,1.08,1.67,
BD+45 564 b,BD+45 564,5004.00,,0.81,
BD+48 738 b,BD+48 738,4414.00,11.00,0.74,
BD+48 740 b,BD+48 740,4534.00,10.33,1.09,746.00
BD+49 828 b,BD+49 828,4943.00,7.60,1.52,
BD+55 362 b,BD+55 362,5012.00,,0.91,
BD+60 1417 b,BD+60 1417,4993.00,0.80,1.00,7.50
BD+63 1405 b,BD+63 1405,5000.00,,0.82,
BD-00 4475 b,BD-00 4475,5040.00,,0.81,
BD-06 1339 b,BD-06 1339,4324.00,,0.70,
BD-06 1339 c,BD-06 1339,4324.00,,0.70,
BD-08 2823 b,BD-08 2823,4746.00,,0.74,
BD-08 2823 b,BD-08 2823,4816.00,0.71,0.50,
BD-08 2823 c,BD-08 2823,4746.00,,0.74,
BD-10 3166 b,BD-10 3166,5382.64,0.97,1.00,
BD-10 3166 b,BD-10 3166,5393.00,,1.01,
BD-10 3166 b,BD-10 3166,5393.00,0.91,1.47,
BD-10 3166 b,BD-10 3166,5400.00,,1.10,
BD-11 4672 b,BD-11 4672,4475.00,0.52,0.57,
BD-11 4672 b,BD-11 4672,4550.00,0.64,0.65,25.00
BD-11 4672 c,BD-11 4672,4550.00,0.64,0.65,25.00
BD-13 2130 b,BD-13 2130,,,2.40,
BD-13 2130 b,BD-13 2130,4545.00,19.17,2.12,
BD-17 63 b,BD-17 63,4665.00,0.74,0.31,
BD-17 63 b,BD-17 63,4714.00,0.69,0.74,
CD Cet b,CD Cet,3130.00,0.17,0.16,126.20
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,580.50,,0.02,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,2320.00,0.24,0.01,
CHXR 73 b,CHXR 73,,,0.35,
CI Tau b,CI Tau,,,0.90,
COCONUTS-2 b,COCONUTS-2 A,3406.00,0.39,0.37,2.83
CT Cha b,CT Cha,,,,
CoRoT-1 b,CoRoT-1,5950.00,1.13,0.95,
CoRoT-1 b,CoRoT-1,5950.00,,,
CoRoT-1 b,CoRoT-1,6298.00,1.23,1.22,
CoRoT-1 b,CoRoT-1,5950.00,1.11,0.95,
CoRoT-1 b,CoRoT-1,5950.00,1.14,1.03,
CoRoT-10 b,CoRoT-10,5075.00,0.74,0.90,
CoRoT-10 b,CoRoT-10,5075.00,0.79,0.89,
CoRoT-10 b,CoRoT-10,5075.00,0.79,0.89,
CoRoT-11 b,CoRoT-11,6343.00,1.36,1.56,
CoRoT-11 b,CoRoT-11,6440.00,1.37,1.26,
CoRoT-11 b,CoRoT-11,6440.00,1.37,1.27,
CoRoT-11 b,CoRoT-11,6440.00,1.37,1.27,
CoRoT-11 b,CoRoT-11,,1.33,1.23,
CoRoT-12 b,CoRoT-12,5675.00,1.12,1.08,
CoRoT-12 b,CoRoT-12,,1.05,1.00,
CoRoT-12 b,CoRoT-12,5675.00,1.12,1.08,
CoRoT-12 b,CoRoT-12,5675.00,1.05,1.02,
CoRoT-12 b,CoRoT-12,5675.00,1.12,1.08,
CoRoT-13 b,CoRoT-13,5945.00,1.01,1.09,
CoRoT-13 b,CoRoT-13,5945.00,1.27,1.09,
CoRoT-13 b,CoRoT-13,5945.00,1.01,1.09,
CoRoT-13 b,CoRoT-13,5945.00,1.01,1.09,
CoRoT-14 b,CoRoT-14,6035.00,1.19,1.12,
CoRoT-14 b,CoRoT-14,6040.00,1.21,1.13,
CoRoT-14 b,CoRoT-14,6035.00,1.21,1.13,
CoRoT-16 b,CoRoT-16,5650.00,1.19,1.10,
CoRoT-16 b,CoRoT-16,5650.00,1.19,1.10,
CoRoT-17 b,CoRoT-17,5740.00,1.59,1.04,
CoRoT-17 b,CoRoT-17,5740.00,1.59,1.04,
CoRoT-17 b,CoRoT-17,5740.00,1.62,1.04,
CoRoT-18 b,CoRoT-18,5440.00,0.92,0.86,
CoRoT-18 b,CoRoT-18,5440.00,1.00,0.95,
CoRoT-18 b,CoRoT-18,5440.00,1.00,0.95,5.40
CoRoT-18 b,CoRoT-18,5440.00,1.00,0.95,
CoRoT-18 b,CoRoT-18,,0.88,0.88,
CoRoT-19 b,CoRoT-19,6090.00,1.65,1.21,
CoRoT-19 b,CoRoT-19,6090.00,1.58,1.18,
CoRoT-19 b,CoRoT-19,6090.00,1.65,1.21,
CoRoT-19 b,CoRoT-19,6090.00,1.65,1.21,
CoRoT-2 b,CoRoT-2,5625.00,0.90,0.97,
CoRoT-2 b,CoRoT-2,5598.00,0.90,1.00,
CoRoT-2 b,CoRoT-2,5625.00,0.90,0.97,4.52
CoRoT-2 b,CoRoT-2,5696.00,,,
CoRoT-2 b,CoRoT-2,5575.00,,,
CoRoT-2 b,CoRoT-2,5625.00,0.91,0.96,
CoRoT-2 b,CoRoT-2,5696.00,0.91,1.02,
CoRoT-2 b,CoRoT-2,,,,
CoRoT-2 b,CoRoT-2,5529.00,0.94,0.97,
CoRoT-20 b,CoRoT-20,,1.16,1.10,
CoRoT-20 b,CoRoT-20,5880.00,1.02,1.14,
CoRoT-20 b,CoRoT-20,5880.00,1.34,1.11,
CoRoT-20 b,CoRoT-20,5880.00,1.02,1.14,
CoRoT-20 b,CoRoT-20,,,1.14,
CoRoT-20 c,CoRoT-20,,,1.14,
CoRoT-21 b,CoRoT-21,6200.00,1.95,1.29,
CoRoT-21 b,CoRoT-21,6200.00,1.95,1.29,
CoRoT-22 b,CoRoT-22,5939.00,1.14,1.10,
CoRoT-23 b,CoRoT-23,5900.00,1.74,1.12,
CoRoT-23 b,CoRoT-23,5900.00,1.61,1.14,
CoRoT-23 b,CoRoT-23,5900.00,1.61,1.14,
CoRoT-24 b,CoRoT-24,4950.00,0.86,0.91,
CoRoT-24 c,CoRoT-24,4950.00,0.86,0.91,
CoRoT-25 b,CoRoT-25,6040.00,1.19,1.09,
CoRoT-25 b,CoRoT-25,6040.00,1.19,1.09,
CoRoT-26 b,CoRoT-26,5590.00,1.79,1.09,
CoRoT-26 b,CoRoT-26,5590.00,1.79,1.09,
CoRoT-27 b,CoRoT-27,5900.00,1.08,1.05,
CoRoT-27 b,CoRoT-27,5900.00,1.08,1.05,
CoRoT-28 b,CoRoT-28,5150.00,1.78,1.01,
CoRoT-28 b,CoRoT-28,5150.00,1.78,1.01,
CoRoT-29 b,CoRoT-29,5268.00,1.08,0.90,
CoRoT-29 b,CoRoT-29,5260.00,0.90,0.97,
CoRoT-29 b,CoRoT-29,5260.00,0.90,0.97,
CoRoT-3 b,CoRoT-3,,1.54,1.36,
CoRoT-3 b,CoRoT-3,6740.00,1.56,1.37,
CoRoT-3 b,CoRoT-3,6740.00,1.56,1.37,
CoRoT-3 b,CoRoT-3,6558.00,1.44,1.41,
CoRoT-3 b,CoRoT-3,6740.00,1.57,1.40,
CoRoT-30 b,CoRoT-30,5650.00,0.91,0.98,
CoRoT-31 b,CoRoT-31,5700.00,2.15,1.25,
CoRoT-4 b,CoRoT-4,6190.00,1.15,1.19,
CoRoT-4 b,CoRoT-4,6190.00,1.17,1.16,
CoRoT-4 b,CoRoT-4,6190.00,1.17,1.16,8.90
CoRoT-5 b,CoRoT-5,6100.00,1.05,1.02,
CoRoT-5 b,CoRoT-5,6100.00,1.19,1.00,
CoRoT-5 b,CoRoT-5,,1.11,0.99,
CoRoT-5 b,CoRoT-5,6100.00,1.19,1.00,
CoRoT-6 b,CoRoT-6,6090.00,1.04,1.05,
CoRoT-6 b,CoRoT-6,6090.00,1.02,1.05,
CoRoT-6 b,CoRoT-6,6090.00,1.02,1.05,6.40
CoRoT-7 b,CoRoT-7,5250.00,0.96,0.88,
CoRoT-7 b,CoRoT-7,5275.00,0.87,0.93,
CoRoT-7 b,CoRoT-7,5275.00,0.83,0.82,
CoRoT-7 b,CoRoT-7,5259.00,0.82,0.91,
CoRoT-7 b,CoRoT-7,5256.00,0.86,0.90,
CoRoT-7 b,CoRoT-7,5256.00,0.86,0.90,
CoRoT-7 b,CoRoT-7,5313.00,0.84,0.88,
CoRoT-7 c,CoRoT-7,5256.00,0.86,0.90,
CoRoT-7 c,CoRoT-7,5256.00,0.86,0.90,
CoRoT-8 b,CoRoT-8,5080.00,0.77,0.88,
CoRoT-8 b,CoRoT-8,5080.00,0.77,0.88,
CoRoT-8 b,CoRoT-8,5080.00,0.90,0.88,
CoRoT-8 b,CoRoT-8,,0.80,0.89,
CoRoT-9 b,CoRoT-9,5625.00,0.96,0.96,
CoRoT-9 b,CoRoT-9,5625.00,0.96,0.96,
CoRoT-9 b,CoRoT-9,5625.00,0.94,0.99,
CoRoT-9 b,CoRoT-9,5625.00,0.94,0.96,
CoRoTID 223977153 b,CoRoTID 223977153,5970.00,0.79,1.08,
CoRoTID 223977153 b,CoRoTID 223977153,5970.00,0.79,1.08,
DE CVn b,DE CVn,,,0.51,
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,,,0.07,
DH Tau b,DH Tau,,0.27,0.33,
DH Tau b,DH Tau,4371.00,1.37,0.68,
DMPP-1 b,DMPP-1,6196.00,1.26,1.21,
DMPP-1 c,DMPP-1,6196.00,1.26,1.21,
DMPP-1 d,DMPP-1,6196.00,1.26,1.21,
DMPP-1 e,DMPP-1,6196.00,1.26,1.21,
DMPP-2 b,DMPP-2,6500.00,1.78,1.44,
DMPP-3 A b,DMPP-3 A,,,,
DMPP-3 A b,DMPP-3 A,5138.00,0.91,0.87,21.80
DP Leo b,DP Leo,,,,
DP Leo b,DP Leo,,,0.69,
DS Tuc A b,DS Tuc A,5542.00,0.87,0.96,2.85
DS Tuc A b,DS Tuc A,5428.00,0.96,1.01,2.85
DS Tuc A b,DS Tuc A,5414.00,0.95,,
EPIC 201170410.02,EPIC 201170410,3648.00,0.28,0.29,
EPIC 201238110 b,EPIC 201238110,,,0.41,
EPIC 201238110 b,EPIC 201238110,,0.37,,
EPIC 201427007 b,EPIC 201427007,5633.00,0.94,,
EPIC 201497682 b,EPIC 201497682,,,0.78,
EPIC 201595106 b,EPIC 201595106,5711.17,0.99,1.02,
EPIC 201595106 b,EPIC 201595106,5705.00,0.93,,
EPIC 201595106 b,EPIC 201595106,5820.00,0.93,,
EPIC 201615463 c,K2-166,,,1.07,
EPIC 201754305 d,K2-16,,,0.67,
EPIC 201757695.02,EPIC 201757695,4520.00,0.66,0.73,
EPIC 201833600 c,K2-50,,0.63,,
EPIC 201833600 c,K2-50,,,0.61,
EPIC 201841433 b,EPIC 201841433,,0.63,,
EPIC 201841433 b,EPIC 201841433,,,0.80,
EPIC 201841433 b,EPIC 201841433,5053.00,0.63,0.80,
EPIC 205950854 c,K2-168,,,0.91,
EPIC 205950854 c,K2-168,,0.90,,
EPIC 205950854 c,K2-168,5502.70,0.83,0.88,
EPIC 206024342 b,EPIC 206024342,,,0.93,
EPIC 206024342 b,EPIC 206024342,,0.82,,
EPIC 206024342 c,EPIC 206024342,5648.00,0.94,,
EPIC 206024342 c,EPIC 206024342,5724.00,1.10,,
EPIC 206024342 c,EPIC 206024342,,0.82,,
EPIC 206024342 d,EPIC 206024342,,0.82,,
EPIC 206024342 d,EPIC 206024342,6438.00,1.50,,
EPIC 206024342 d,EPIC 206024342,5724.00,1.10,,
EPIC 206024342 d,EPIC 206024342,5648.00,0.94,,
EPIC 206032309 b,EPIC 206032309,,,0.22,
EPIC 206042996 b,EPIC 206042996,,0.67,,
EPIC 206042996 b,EPIC 206042996,,,0.56,
EPIC 206042996 b,EPIC 206042996,4114.00,0.50,,
EPIC 206042996 c,EPIC 206042996,4114.00,0.50,,
EPIC 206042996 c,EPIC 206042996,3893.00,0.57,,
EPIC 206215704 b,EPIC 206215704,,,0.41,
EPIC 206215704 b,EPIC 206215704,,0.37,,
EPIC 206215704 b,EPIC 206215704,3297.00,0.25,,
EPIC 206317286 b,EPIC 206317286,,,0.71,
EPIC 206317286 b,EPIC 206317286,,0.67,,
EPIC 206317286 c,EPIC 206317286,,0.67,,
EPIC 206317286 c,EPIC 206317286,4749.00,0.73,,
EPIC 206317286 c,EPIC 206317286,4752.00,0.76,0.83,
EPIC 211822797 b,EPIC 211822797,,0.64,,
EPIC 211822797 b,EPIC 211822797,3811.00,0.60,0.59,
EPIC 211822797 b,EPIC 211822797,4148.21,0.57,0.66,
EPIC 211822797 b,EPIC 211822797,3880.00,0.59,0.61,14.60
EPIC 211822797 b,EPIC 211822797,4057.00,0.58,0.62,
EPIC 211822797 b,EPIC 211822797,3811.00,0.60,0.59,
EPIC 211945201 b,EPIC 211945201,6025.00,1.38,1.18,
EPIC 211945201 b,EPIC 211945201,6069.00,1.39,1.17,
EPIC 211945201 b,EPIC 211945201,6128.00,1.36,1.16,
EPIC 211945201 b,EPIC 211945201,6128.00,1.36,1.16,
EPIC 211945201 b,EPIC 211945201,6046.00,1.41,,
EPIC 211945201 b,EPIC 211945201,,1.40,,
EPIC 211945201 b,EPIC 211945201,,1.48,,
EPIC 211945201 b,EPIC 211945201,6320.00,1.49,,
EPIC 212297394 b,EPIC 212297394,,0.75,,
EPIC 212297394 b,EPIC 212297394,5171.00,0.80,0.83,
EPIC 212297394 b,EPIC 212297394,,,0.83,
EPIC 212297394 c,EPIC 212297394,5171.00,0.80,0.83,
EPIC 212297394 c,EPIC 212297394,5008.00,0.78,0.83,
EPIC 212297394 c,EPIC 212297394,,0.75,,
EPIC 212424622 b,EPIC 212424622,,,1.11,
EPIC 212424622 b,EPIC 212424622,,1.22,,
EPIC 212499991 b,EPIC 212499991,,,0.91,
EPIC 212587672 b,EPIC 212587672,,,0.95,
EPIC 212587672 b,EPIC 212587672,,0.98,,
EPIC 212587672 b,EPIC 212587672,6004.00,0.98,0.99,
EPIC 212587672 c,EPIC 212587672,6055.00,0.95,1.13,
EPIC 212587672 c,EPIC 212587672,6055.00,0.95,1.13,
EPIC 212587672 c,EPIC 212587672,5928.00,0.95,,
EPIC 212587672 c,EPIC 212587672,6004.00,0.98,0.99,
EPIC 212587672 c,EPIC 212587672,,0.95,,
EPIC 212587672 c,EPIC 212587672,,0.98,,
EPIC 212624936 b,EPIC 212624936,5765.00,0.93,,
EPIC 212624936 c,EPIC 212624936,5765.00,0.93,,
EPIC 212624936 c,EPIC 212624936,,0.95,,
EPIC 212737443 b,EPIC 212737443,4684.00,0.67,0.69,
EPIC 212737443 b,EPIC 212737443,4581.00,0.67,0.72,
EPIC 212737443 b,EPIC 212737443,4581.00,0.67,0.72,
EPIC 212737443 c,EPIC 212737443,4684.00,0.67,0.69,
EPIC 220492298 b,EPIC 220492298,5620.00,0.89,,
EPIC 220554210 c,K2-282,5499.00,1.00,,
EPIC 220554210 c,K2-282,,1.01,,
EPIC 220554210 c,K2-282,,,0.94,
EPIC 220674823 b,EPIC 220674823,5590.00,0.83,0.93,
EPIC 220674823 b,EPIC 220674823,5496.00,0.98,0.90,
EPIC 220674823 b,EPIC 220674823,5496.00,0.95,0.92,
EPIC 220674823 b,EPIC 220674823,5470.00,0.87,0.94,
EPIC 220674823 b,EPIC 220674823,5613.00,0.95,,
EPIC 220674823 b,EPIC 220674823,,0.97,,
EPIC 220674823 b,EPIC 220674823,5590.00,0.91,0.97,
EPIC 220674823 b,EPIC 220674823,5617.00,0.98,0.97,
EPIC 220674823 b,EPIC 220674823,,1.02,,
EPIC 220674823 c,EPIC 220674823,5590.00,0.91,0.97,
EPIC 220674823 c,EPIC 220674823,5496.00,0.95,0.92,
EPIC 220674823 c,EPIC 220674823,5590.00,0.83,0.93,
EPIC 220674823 c,EPIC 220674823,5470.00,0.87,0.94,
EPIC 220674823 c,EPIC 220674823,,0.97,,
EPIC 220674823 c,EPIC 220674823,5617.00,0.98,0.97,
EPIC 220674823 c,EPIC 220674823,,1.02,,
EPIC 220674823 c,EPIC 220674823,5613.00,0.95,,
EPIC 228836835 b,EPIC 228836835,3782.00,0.32,,
EPIC 228836835 b,EPIC 228836835,3506.00,0.42,0.42,
EPIC 246851721 b,EPIC 246851721,6202.00,1.59,1.32,
EPIC 248847494 b,EPIC 248847494,4898.00,2.70,0.90,
EPIC 249893012 b,EPIC 249893012,5430.00,1.71,1.05,41.00
EPIC 249893012 c,EPIC 249893012,5430.00,1.71,1.05,41.00
EPIC 249893012 d,EPIC 249893012,5430.00,1.71,1.05,41.00
FU Tau b,FU Tau,2838.00,,0.05,
G 264-012 b,G 264-012,3326.00,0.30,0.30,100.00
G 264-012 c,G 264-012,3326.00,0.30,0.30,100.00
G 9-40 b,G 9-40,3348.00,0.31,0.29,29.85
G 9-40 b,G 9-40,3390.00,0.31,,
GJ 1061 b,GJ 1061,2953.00,0.16,0.12,
GJ 1061 c,GJ 1061,2953.00,0.16,0.12,
GJ 1061 d,GJ 1061,2953.00,0.16,0.12,
GJ 1132 b,GJ 1132,3270.00,0.21,0.18,122.30
GJ 1132 b,GJ 1132,,,,122.31
GJ 1132 b,GJ 1132,,0.26,0.18,
GJ 1132 b,GJ 1132,3270.00,0.21,0.18,
GJ 1132 c,GJ 1132,3270.00,0.21,0.18,122.30
GJ 1148 b,GJ 1148,3357.57,0.37,0.37,
GJ 1148 b,GJ 1148,3287.00,0.36,0.34,
GJ 1148 b,GJ 1148,3287.00,0.36,0.34,
GJ 1148 c,GJ 1148,3287.00,0.36,0.34,
GJ 1148 c,GJ 1148,3357.57,0.37,0.37,
GJ 1151 b,GJ 1151,,,,
GJ 1214 b,GJ 1214,3074.00,0.21,0.18,
GJ 1214 b,GJ 1214,3250.00,0.21,0.18,124.70
GJ 1214 b,GJ 1214,,0.20,,
GJ 1214 b,GJ 1214,3170.00,0.18,0.16,
GJ 1214 b,GJ 1214,3026.00,0.22,0.15,
GJ 1214 b,GJ 1214,3000.00,,,
GJ 1214 b,GJ 1214,3250.00,0.22,0.18,
GJ 1214 b,GJ 1214,3026.00,0.21,,
GJ 1214 b,GJ 1214,3026.00,0.20,,
GJ 1214 b,GJ 1214,3074.00,0.21,0.18,
